source,target,type
RFP-J-005,RFP-B-007,WIRELESS_LINK_WITH
RFP-I-004,RFP-H-001,RECEIVES_DATA_FROM
RFP-I-004,RFP-J-001,INTEGRATED_WITH_ITS
RFP-J-006,RFP-B-007,PROTECTS_SIGNAL_FROM_NOISE
RFP-J-006,RFP-B-001,MANAGES_VEHICLE_EMISSION
RFP-J-006,RFP-A-005,FOLLOWS_EMC_STANDARDS
RFP-J-001,RFP-CD-011,ENHANCES_TRAFFIC_FLOW
RFP-A-004,RFP-CD-011,CAUSES_ROAD_CLOSURE
RFP-B-002,RFP-CD-011,DETERMINES_SIGNAL_CYCLE
RFP-A-005,RFP-CD-011,GOVERNS_TRAFFIC_PLAN
RFP-I-001,RFP-I-006,SENDS_DETECTION_TO
RFP-H-001,RFP-I-006,COMMANDS_FIRE_SYSTEM
RFP-A-002,RFP-D-004,DETERMINES_TRACK_TYPE
RFP-D-004,RFP-J-002,REDUCES_NOISE_VIA
RFP-B-004,RFP-B-003,AFFECTS_BRAKING_ON_SLOPE
RFP-B-004,RFP-B-005,INCREASES_REGEN_POTENTIAL
RFP-A-002,RFP-G-001,REDUCES_MAINTENANCE_COST
RFP-B-005,RFP-G-001,SAVES_ENERGY_COST
RFP-J-004,RFP-A-001,PREREQUISITE_FOR_APPROVAL
RFP-J-005,RFP-I-004,PROVIDES_DOOR_STATUS_TO
RFP-J-006,RFP-H-001,ENSURES_COMM_INTEGRITY
RFP-D-005,RFP-F-003,DIGITAL_TWIN_FOR
