id,label,section,keywords,content,risk_level
RFP-B-002,Tech_Spec,2.2 (31),"친환경 자재, HCFC 금지",냉매 및 소화약제 선정 시 HCFC 계열 사용 금지,Low
RFP-B-003,Tech_Spec,2.2 (34),"BF 인증, 우수등급",장애물 없는 생활환경(BF) 인증 우수등급 이상 취득 의무,Medium
RFP-B-004,Constraint,2.2 (39-바),"가설재 매몰, 준공도면",H-Pile 등 가설재 매몰 시 위치를 준공도면에 상세 명기,Low
RFP-B-005,Tech_Spec,2.2 (39-차),"선로전환기, 폭우배수",매립형 선로전환기 설치 구간은 폭우 대비 전용 배수시설 설치 필수,High
RFP-B-006,Constraint,2.2 (41),"차수공법, 지하수위",지반 특성에 맞는 차수그라우팅 적용으로 지하수위 저하 방지,High
RFP-B-007,Constraint,2.2 (51),"암버럭 매각, 공사비 공제",발생 암버럭은 품질 검사 후 발주처에 매각하고 대금은 공사비에서 공제,Medium
RFP-B-008,Constraint,2.2 (66),"기존교량, 내하력검토",기존 도로 시설물 통과 시 트램 만차 하중 기준 내하력 검토 및 보강,High
RFP-B-009,Tech_Spec,2.2 (69),"공동관로, 상하선 확보",시스템용 공동관로를 상하선에 각각 확보 및 횡단배관 설치,Medium
RFP-B-010,Constraint,2.2 (72),"인동선 연계, 개착구간",동탄~인덕원선 개착 공사 구간과 중첩 시 간섭 및 공정 계획 수립,High
RFP-B-011,Constraint,2.2 (76),"선로기울기, 급구배",경기도 노면전차 건설 규정 준수 및 급구배 구간 차량 안전 운행 검토,High
RFP-B-012,Constraint,2.2 (94),"디자인가이드라인, 특화정거장",동탄역 등 특화정거장은 디자인가이드라인 준수,Medium
RFP-B-013,Tech_Spec,2.2 (16),"지하수 방류, 전용관로",지하수 발생량 100㎥/일 이상 시 인근 하천 방류 전용관로 설치,Medium
RFP-CD-001,Tech_Spec,4.1 (9),"검수정보시스템, CBM","트램 이력관리, 고장분석, 상태기반유지보수(CBM) 시스템 구축",Medium
RFP-CD-002,Tech_Spec,4.1 (100),"LTE-R, 주파수 간섭",동탄 LTE-R과 기존 PS-LTE 간 주파수 간섭 해소,High
RFP-CD-003,Tech_Spec,4.1 (154),"사고복구차량, 도로궤도겸용",도로와 궤도를 모두 주행 가능한 다목적 사고복구차량 공급,Medium
RFP-CD-004,Tech_Spec,2.2 (85),"충전설비, 정거장 정차",정거장 내 무가선 충전을 위한 급속 충전 시스템 구축,High
RFP-CD-005,Tech_Spec,2.2 (79),"ATP/ATO, 신호제어",자동열차방호(ATP) 및 운전 지원 기술 반영,Medium
RFP-CD-006,Utility_Rule,4.1 (98),"AFC, 수도권 통합운임",수도권 통합운임체계가 적용된 역무자동화(AFC) 설비 구축,Medium
RFP-CD-007,Tech_Spec,4.1 (105),"경영정보, 지능형CCTV",차량기지 및 정거장 CCTV 통합 관제 연계,Low
RFP-CD-008,Constraint,4.1 (133),"세척기, 결빙방지",겨울철 차체 세척 시 세척수 결빙 및 동파 방지 기능 포함,Medium
RFP-CD-009,Tech_Spec,2.1 (21),설계안전보건대장,산업안전보건법에 따른 설계안전보건대장 작성,High
RFP-CD-010,Constraint,4.1 (147),"제작사 시험기, 인터페이스",차량 제작사 공급 시험기와 차량기지 검수 장비 간 호환성 확보,Medium
RFP-CD-011,Tech_Spec,1.10 (69),"슈퍼캐퍼시터, 배터리",하이브리드형 무가선 주행 시스템 최적화 제안,High
RFP-E-001,Constraint,3.1 (5),철도종합시험운행,국토부 고시에 따른 시설물 검증 및 영업 시운전 수행,High
RFP-E-002,Tech_Spec,4.2 (603),유지관리 매뉴얼,차량 및 시스템별 유지보수 매뉴얼 작성 및 교육,Medium
RFP-E-003,Constraint,3.3 (카),전력/용수 신청,공사 및 시운전용 전력 용수 사용료 계약상대자 부담,Medium
RFP-E-004,Constraint,3.3 (커),사용전검사,전기사업법에 따라 KESCO로부터 전기사용전 검사 수검,High
RFP-E-005,Tech_Spec,4.1 (12),예비품 관리,유지보수에 필요한 필수 예비품 및 특수 공구 납품,Medium
RFP-E-006,Constraint,3.16 (1),운영 소음진동,시운전 중 발생하는 소음 진동 민원 해결,High
RFP-E-007,Constraint,4.1 (798),측량기준점 인계,궤도 등 타 분야 공사 착수를 위해 기준점 공식 인계,Medium
RFP-E-008,Tech_Spec,4.2 (522),신재생에너지 신고,태양광 등 설치 완료 후 에너지관리공단 신고,Low
RFP-E-009,Constraint,3.3 (버),하자보수 책임,하자 통지 시 즉시 보수 작업 및 원인 분석 보고,Medium
RFP-E-010,Constraint,3.6 (5),준공도면 오류,승인된 도면이라도 오류 발견 시 계약자 비용 시정,High
